imdb_id,movie_id,title,genres,production_countries,release_year
tt0113409,155,The Parkers,['comedy'],['US'],1999
tt0106226,156,"Sister, Sister","['comedy', 'drama', 'family']",['US'],1994
tt0109067,157,Moesha,"['drama', 'comedy', 'family']",['US'],1996
tt0109254,158,Heartbreak High,"['drama', 'romance', 'comedy']",['AU'],1994
tt0106452,159,Oggy and the Cockroaches,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],1999
tt0106489,160,Kuch Kuch Hota Hai,"['romance', 'comedy', 'drama']",['IN'],1998
tt0106505,161,Children of God,['documentation'],['GB'],1994
tt0106519,162,Knight Rider 2000,"['action', 'scifi']",['US'],1991
tt0106582,163,Okupas,"['drama', 'crime']",['AR'],2000
tt0109456,164,Hum Aapke Hain Koun..!,"['drama', 'romance', 'comedy']",['IN'],1994
tt0106677,165,Dil Se..,"['drama', 'romance']",['IN'],1998
tt0106697,166,Jerry Seinfeld: I'm Telling You for the Last Time,"['comedy', 'documentation']",['US'],1998
tt0106941,167,H,['comedy'],['FR'],1998
tt0106918,168,Sankofa,"['drama', 'european']","['DE', 'GH', 'GB', 'US', 'BF']",1993
tt0106965,169,Herod's Law,"['comedy', 'crime', 'thriller']",['MX'],1999
tt0106977,170,Wild Tango,"['drama', 'music', 'romance']","['ES', 'AR']",1993
tt0107004,171,The Last Days,"['drama', 'history', 'war', 'documentation']",['US'],1998
tt0107076,172,Sam Kinison: Live in Vegas,"['comedy', 'music', 'documentation']",['US'],1991
tt0107144,173,Bill Hicks: Revelations,"['comedy', 'documentation']",['GB'],1993
tt0107206,174,Bombay,"['drama', 'romance']",['IN'],1995
tt0107207,175,Mann,"['drama', 'romance']",['IN'],1999
tt0107290,176,Soldier,"['thriller', 'action', 'drama', 'romance']",['IN'],1998
tt0107302,177,Sinbad: Son of a Preacher Man,"['comedy', 'documentation']",['US'],1996
tt0110265,178,Damini,"['drama', 'crime']",['IN'],1993
tt0107362,179,Hum Saath Saath Hain,"['romance', 'family', 'fantasy', 'drama']",['IN'],1999
tt0107507,180,Destiny,"['drama', 'history', 'comedy', 'romance']","['FR', 'EG']",1997
tt0107554,181,Chronicle of a Disappearance,['drama'],"['PS', 'US', 'FR', 'DE']",1996
tt0116253,182,Muthu,"['comedy', 'drama', 'action', 'romance']",['IN'],1995
tt0107614,183,Jeans,"['comedy', 'drama', 'romance']",['IN'],1998
tt0110657,184,Monty Python: Live at Aspen,"['comedy', 'documentation']","['GB', 'US']",1998
tt0110678,185,Minsara Kanavu,"['comedy', 'romance', 'drama']",['IN'],1997
tt0107808,186,Duplicate,"['comedy', 'action', 'crime', 'thriller']",['IN'],1998
tt0107818,187,Avvai Shanmugi,"['drama', 'comedy']",['IN'],1996
tt0107822,188,Anjaam,"['romance', 'crime', 'thriller', 'drama']",['IN'],1994
tt0107840,189,A Triumph of the Heart: The Ricky Bell Story,"['drama', 'sport']",['US'],1991
tt0110955,190,Phir Bhi Dil Hai Hindustani,"['comedy', 'romance', 'drama']",['IN'],2000
tt0107943,191,Children of Shatila,"['documentation', 'history']",['LB'],1999
tt0110971,192,Tim Allen: Rewires America,"['comedy', 'documentation']",['US'],1991
tt0107978,193,West Beirut,"['romance', 'drama', 'comedy', 'war', 'european']","['FR', 'NO', 'LB', 'BE']",1998
tt0107977,194,Govindha Govindha,"['drama', 'action', 'crime']",['IN'],1993
tt0107983,195,Out of Life,"['drama', 'war', 'crime', 'european']","['BE', 'FR', 'IT', 'LB']",1991
tt0108000,196,Gumrah,"['drama', 'action', 'crime', 'thriller']",['IN'],1993
tt0108002,197,Sinbad: Nothin' but the Funk,"['comedy', 'documentation']",['US'],1998
tt0108052,198,Sinbad: Afros and Bellbottoms,"['comedy', 'documentation']",['US'],1993
tt0111127,199,Fiza,"['romance', 'action', 'crime', 'drama', 'thriller']",['IN'],2000
tt0111143,200,Before the Flying Circus,"['comedy', 'documentation']",['GB'],2000
tt0108160,201,The Other,"['romance', 'european', 'drama']","['FR', 'EG']",1999
tt0108162,202,Yodha,"['action', 'drama']",['IN'],1991
tt0083658,203,The Emigrant,['drama'],"['FR', 'EG']",1994
tt0108174,204,Hello Brother,"['comedy', 'romance', 'fantasy', 'action']",['IN'],1999
tt0108255,205,Dushmani,"['romance', 'action', 'drama']",['IN'],1995
tt0111323,206,Nightmare in Columbia County,"['drama', 'thriller', 'crime']",['US'],1991
tt0111400,207,Shikari,"['drama', 'action']","['IN', 'SU']",1991
tt0107688,208,Breaking Bad,"['drama', 'crime', 'thriller']",['US'],2008
tt0108333,209,Top Gear,"['comedy', 'reality', 'european', 'music']",['GB'],2002
tt0108358,210,The Walking Dead,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],2010
tt0108399,211,Supernatural,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],2005
tt0110763,212,The Mist,"['horror', 'scifi', 'thriller']",['US'],2007
tt0099785,213,Mean Girls,['comedy'],"['CA', 'US']",2004
tt0099653,214,The Great British Baking Show,"['reality', 'european']",['GB'],2010
tt0103639,215,30 Rock,"['comedy', 'sport']",['US'],2006
tt0103064,216,Borgen,"['drama', 'european']",['DK'],2010
tt0099348,217,Community,['comedy'],['US'],2009
tt0096895,218,Catch Me If You Can,"['drama', 'crime']",['US'],2002
tt0102926,219,Grey's Anatomy,"['drama', 'romance']",['US'],2005
tt0029583,220,Arrested Development,['comedy'],['US'],2003
tt0101414,221,Heartland,"['drama', 'family']",['CA'],2007
tt0032910,222,The Staircase,"['crime', 'documentation', 'drama']",['FR'],2004
tt0100405,223,Old School,"['comedy', 'european']",['US'],2003
tt0065214,224,NCIS,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],2003
tt0116282,225,Avatar: The Last Airbender,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],2005
tt0116514,226,Anchorman: The Legend of Ron Burgundy,['comedy'],['US'],2004
tt0065421,227,Friday Night Lights,"['drama', 'sport']",['US'],2006
tt0117381,228,The IT Crowd,"['comedy', 'european']",['GB'],2006
tt0116414,229,Inception,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",2010
tt0115956,230,The Spectacular Spider-Man,"['action', 'animation', 'family', 'scifi', 'comedy']",['US'],2008
tt0117060,231,The Departed,"['drama', 'thriller', 'crime', 'action']",['US'],2006
tt0116136,232,Zoey 101,"['drama', 'comedy', 'family', 'romance']",['US'],2005
tt0116683,233,Insidious,"['horror', 'thriller']","['CA', 'US']",2010
tt0116269,234,War of the Worlds,"['action', 'thriller', 'scifi']",['US'],2005
tt0117705,235,DEATH NOTE,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']",['JP'],2006
tt0062711,236,The Vampire Diaries,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",['US'],2009
tt0117104,237,Naruto,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']",['JP'],2002
tt0117420,238,Wanted,"['action', 'thriller', 'crime', 'fantasy']","['DE', 'US']",2008
tt0095776,239,Casino Royale,"['action', 'thriller', 'european']","['DE', 'GB', 'US', 'BS', 'CZ']",2006
tt0116322,240,My Little Pony: Friendship Is Magic,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']","['CA', 'US']",2010
tt0113362,241,Chappelle's Show,"['comedy', 'music']",['US'],2003
tt0115963,242,The Terminal,"['drama', 'comedy', 'romance']",['US'],2004
tt0117260,243,Michael Clayton,"['thriller', 'drama', 'crime']",['US'],2007
tt0117500,244,Road to Perdition,"['thriller', 'documentation', 'drama', 'crime']",['US'],2002
tt0117998,245,Victorious,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",['US'],2010
tt0115571,246,Big Fish,"['action', 'fantasy', 'drama', 'romance']",['US'],2003
tt0057012,247,The Hurt Locker,"['thriller', 'drama', 'war']",['US'],2008
tt0117331,248,Troy,"['action', 'history', 'war', 'drama', 'european']","['MT', 'GB', 'US']",2004
tt0117765,249,Sherlock Holmes,"['crime', 'thriller', 'action']","['AU', 'DE', 'GB', 'US']",2009
tt0116669,250,Trailer Park Boys,"['comedy', 'crime']",['CA'],2001
tt0117951,251,Love Actually,"['drama', 'comedy', 'romance']","['GB', 'US']",2003
tt0116629,252,America's Next Top Model,['reality'],['US'],2003
tt0116277,253,Get Smart,"['comedy', 'thriller', 'action']",['US'],2008
tt0116583,254,Quantum of Solace,"['thriller', 'action']","['GB', 'US']",2008
tt0115798,255,The Blind Side,"['drama', 'sport']",['US'],2009
tt0116778,256,Identity,['thriller'],['US'],2003
tt0116213,257,I Am Legend,"['scifi', 'thriller', 'action', 'drama']",['US'],2007
tt0117218,258,The Fairly OddParents,"['comedy', 'scifi', 'animation', 'family', 'fantasy']","['CA', 'US']",2001
tt0116040,259,Grown Ups,"['comedy', 'drama', 'european']",['US'],2010
tt0116365,260,The Girl Next Door,"['comedy', 'romance', 'drama']",['US'],2004
tt0116905,261,Ned's Declassified School Survival Guide,"['family', 'comedy']",['US'],2004
tt0117333,262,Public Enemies,"['action', 'crime', 'drama', 'history', 'european']","['US', 'JP']",2009
tt0117628,263,Not Another Teen Movie,['comedy'],['US'],2001
tt0117913,264,Blow,"['crime', 'drama']",['US'],2001
tt0116320,265,Hancock,"['fantasy', 'action', 'crime', 'drama']",['US'],2008
tt0116707,266,iCarly,"['comedy', 'family', 'romance']",['US'],2007
tt0116313,267,The Pursuit of Happyness,"['drama', 'european']",['US'],2006
tt0117438,268,Monster,"['crime', 'drama', 'thriller', 'european']",['US'],2003
tt0115857,269,Rambo,"['action', 'thriller', 'war', 'european']","['DE', 'US']",2008
tt0117008,270,Something's Gotta Give,"['drama', 'comedy', 'romance']",['US'],2003
tt0116191,271,Harold & Kumar Go to White Castle,['comedy'],['US'],2004
tt0115986,272,Thir13en Ghosts,"['horror', 'thriller', 'fantasy']","['CA', 'US']",2001
tt0117826,273,Merlin,"['action', 'drama', 'scifi', 'fantasy', 'european']",['GB'],2008
tt0117718,274,Transformers: Prime,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']",['US'],2010
tt0116225,275,Cloudy with a Chance of Meatballs,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",['US'],2009
tt0115632,276,The Mole,['reality'],"['BE', 'US']",2001
tt0117918,277,Offspring,"['drama', 'comedy']",['AU'],2010
tt0104109,278,Halloween,['horror'],['US'],2007
tt0068646,279,Code Geass: Lelouch of the Rebellion,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']",['JP'],2006
tt0104558,280,Jackass: The Movie,"['comedy', 'documentation', 'action']",['US'],2002
tt0116985,281,Semi-Pro,"['comedy', 'sport', 'european']",['US'],2008
tt0115736,282,The Lake House,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']",['US'],2006
tt0120004,283,The Girl Next Door,"['crime', 'drama', 'horror', 'thriller']",['US'],2007
tt0116654,284,The Book of Eli,"['scifi', 'action', 'thriller', 'drama', 'european']",['US'],2010
tt0115783,285,Blood Diamond,"['drama', 'thriller', 'action']","['DE', 'US']",2006
tt0113253,286,Just Like Heaven,"['romance', 'drama', 'comedy', 'fantasy']",['US'],2005
tt0045152,287,Ip Man,"['drama', 'fantasy', 'comedy', 'history', 'action']",['HK'],2008
tt0043278,288,21,"['crime', 'drama', 'history', 'thriller']",['US'],2008
tt0054698,289,Friday the 13th,"['horror', 'thriller']",['US'],2009
tt0052357,290,Gurren Lagann,"['action', 'scifi', 'animation', 'comedy', 'drama']",['JP'],2007
tt0047396,291,Let Me In,"['drama', 'horror', 'thriller', 'fantasy', 'european']","['GB', 'US']",2010
tt0025316,292,Dead Set,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']",['GB'],2008
tt0053125,293,A Nightmare on Elm Street,"['horror', 'thriller', 'crime', 'drama']",['US'],2010
tt0053604,294,Winx Club,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']",['IT'],2004
tt0053291,295,Miss Congeniality 2: Armed and Fabulous,"['action', 'comedy', 'crime']",['US'],2005
tt0056923,296,The Bucket List,"['drama', 'comedy', 'european']",['US'],2007
tt0034583,297,Octonauts,"['action', 'animation', 'comedy', 'family']",['GB'],2010
tt0033870,298,Sonic X,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']",['JP'],2003
tt0058385,299,Scary Movie 4,"['comedy', 'horror']",['US'],2006
tt0047437,300,The Sweetest Thing,"['comedy', 'romance']",['US'],2002
tt0046250,301,How Do You Know,"['comedy', 'drama', 'romance']",['US'],2010
tt0032138,302,Mr. Bean's Holiday,"['family', 'comedy', 'european']","['US', 'FR', 'DE', 'GB']",2007
tt0031381,303,The Interpreter,"['thriller', 'crime', 'european']","['GB', 'US', 'FR', 'DE']",2005
tt0043014,304,John Q,"['drama', 'thriller', 'crime']",['US'],2002
tt0033467,305,3 Idiots,"['drama', 'comedy']",['IN'],2009
tt0062622,306,The One,"['thriller', 'action', 'scifi']",['US'],2001
tt0042192,307,H2O: Just Add Water,"['scifi', 'drama', 'family', 'fantasy']",['AU'],2006
tt0032143,308,The Texas Chainsaw Massacre,"['horror', 'crime']",['US'],2003
tt0032976,309,Still Game,"['comedy', 'european']",['GB'],2002
tt0038787,310,The Cat in the Hat,"['family', 'fantasy', 'comedy', 'action']",['US'],2003
tt0038109,311,Tears of the Sun,"['war', 'action', 'drama', 'thriller']",['US'],2003
tt0048728,312,Due Date,"['comedy', 'drama']",['US'],2010
tt0031725,313,Black Butler,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']",['JP'],2008
tt0029843,314,We Are Marshall,"['drama', 'sport']",['US'],2006
tt0037008,315,Blood and Bone,"['thriller', 'sport', 'action', 'crime', 'drama']",['US'],2009
tt0027125,316,Freddy vs. Jason,"['horror', 'action']","['IT', 'US']",2003
tt0049261,317,The Golden Compass,"['action', 'fantasy', 'family']","['GB', 'US']",2007
tt0048028,318,The 4400,"['drama', 'scifi', 'thriller']",['US'],2004
tt0025878,319,The Men Who Stare at Goats,"['comedy', 'war']","['US', 'GB']",2009
tt0048960,320,Strawberry Shortcake,"['animation', 'family']",['US'],2003
tt0038650,321,Shaun the Sheep,"['animation', 'comedy', 'family', 'european']",['GB'],2007
tt0031679,322,Cleaner,"['thriller', 'crime']",['US'],2007
tt0063350,323,Toradora!,"['animation', 'comedy', 'drama', 'romance']",['JP'],2008
tt0043265,324,Big Time Rush,"['family', 'comedy']",['US'],2009
tt0051459,325,Monster House,"['animation', 'comedy', 'family', 'fantasy']",['US'],2006
tt0022879,326,Good Luck Chuck,"['comedy', 'romance']","['US', 'CA']",2007
tt0117011,327,"10,000 BC","['action', 'drama', 'fantasy', 'history', 'thriller']","['US', 'ZA']",2008
tt0117039,328,Cop Out,"['crime', 'action', 'comedy', 'thriller']",['US'],2010
tt0116830,329,The Cave,"['horror', 'thriller', 'action', 'scifi', 'european']","['DE', 'US']",2005
